,User,Search Term,Tweet Text,Compound Score,Positive,Neutral,Negative,Timestamp
67,KMichaelNicolas,@bbcworld,I can't wait to see Biden &amp; Trump's presidential debates. It will most likely be the most hilarious thing we have ever watched. @CTVNews @CBCNews @globalnews @TuckerCarlson @ChrisCuomo @politico @NewsHour @SkyNews @BBCWorld One of them is a racist.,-0.2516,0.07,0.093,0.837,1590293039.0
68,isana_sea,@bbcworld,@AlJazeera @BBCWorld @CNN @democracynow @FRANCE24 @lemondefr @NBCNews @RT_com @rtprueba @Olympics @bieparis https://t.co/vhOAyXk63N,0.0,0.0,0.0,1.0,1590293012.0
69,KKHannegan,@bbcworld,RT @BBCWorld: Over 40 coronavirus cases traced to church service in Germany after lockdown was eased https://t.co/15XNkarQHk,0.296,0.121,0.0,0.879,1590293006.0
70,ak_rta,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590293004.0
71,ExposeSweeden,@bbcworld,@HoosierPapaw @MazurikL @realDonaldTrump @USATODAY @CNN @abcnews @CBSNews @FoxNews @NBCNews @AP @nytimes @washingtonpost @Reuters @BBCWorld @NewsHour @JoeBiden @DNC @gtconway3d Stop watching fakenews and then you will see real news. @EpochTimes @gatewaypundit @Oann @JamesOKeefeIII @RichardGrenell @JudicialWatch @DailyCaller @X22Report @zeroHedge,-0.296,0.0,0.058,0.942,1590292994.0
72,EmpressTashe,@bbcworld,"RT @BBCWorld: La Liga can resume from 8 June, Spain's prime minister says https://t.co/sFDSBL5Hc0",0.0,0.0,0.0,1.0,1590292981.0
73,Roland93594461,@bbcworld,@BBCWorld https://t.co/3vmug6ONUB,0.0,0.0,0.0,1.0,1590292980.0
74,UMBRELLAWALK,@bbcworld,I still do ocassionally post on @Myspace Do check out my latest post there! #HGOHD #HARJGTHEONEDBA #HARJGTHEONE #HGOHDMUSICGROUP @BBCWorld @USATODAY @RollingStone @NylonMag https://t.co/JoCQgoYqqj,0.0,0.0,0.0,1.0,1590292969.0
75,mat_nairodie,@bbcworld,"RT @BBCWorld: La Liga can resume from 8 June, Spain's prime minister says https://t.co/sFDSBL5Hc0",0.0,0.0,0.0,1.0,1590292959.0
76,HGOHDMUSICGROUP,@bbcworld,I still do ocassionally post on @Myspace Do check out my latest post there! #HGOHD #HARJGTHEONEDBA #HARJGTHEONE #HGOHDMUSICGROUP @BBCWorld @USATODAY @RollingStone @NylonMag https://t.co/efJfjX6jw2,0.0,0.0,0.0,1.0,1590292958.0
77,carlixmon,@bbcworld,"RT @tercio_t4: Me ayudáis a difundir este video en ingles que corre por las redes hablando de las protestas en España?
@BBCWorld @CNN @CBSN…",0.0,0.0,0.0,1.0,1590292951.0
78,joerave,@bbcworld,RT @kukk44: @joerave @BarackObama @hrw @KenRoth @GauravPandhi @rohanrgupta @RahulGandhi @priyankagandhi @RK_Insight @congressdotgov @Acosta…,0.0,0.0,0.0,1.0,1590292940.0
79,HARJGTHEONEDBA,@bbcworld,I still do ocassionally post on @Myspace Do check out my latest post there! #HGOHD #HARJGTHEONEDBA #HARJGTHEONE #HGOHDMUSICGROUP @BBCWorld @USATODAY @RollingStone @NylonMag https://t.co/98wok9CyM6,0.0,0.0,0.0,1.0,1590292939.0
80,goodcanprevail,@bbcworld,@Nevblanco @BBCWorld Everyone is let down by the bbc it is poisonous!,-0.6114,0.0,0.266,0.734,1590292936.0
81,CdnforTrump2016,@bbcworld,"@c1tpyrc @Linda16425194 @BBCWorld God doesnt cause bad things to happen and man has freewill. No one can really stop you from Mountain Climbing or hitting the bottle, or going into crowds, but should you exercise that free will?, well, guess its YOUR CHOICE &amp; THATS FREEDOM.",0.9488,0.315,0.055,0.63,1590292933.0
82,joerave,@bbcworld,RT @akhterzaidi: @kukk44 @joerave @BarackObama @hrw @KenRoth @GauravPandhi @rohanrgupta @RahulGandhi @priyankagandhi @RK_Insight @congressd…,0.0,0.0,0.0,1.0,1590292899.0
83,LilavoisRichard,@bbcworld,@BBCWorld He’s unfortunately no better,-0.5867,0.0,0.616,0.384,1590292897.0
84,CdnforTrump2016,@bbcworld,"@c1tpyrc @Linda16425194 @BBCWorld So the people who are most at risk ahould stay home, same as if you have certain conditions or diseases you shoukdnt be drinking any alcohol or doing certain high intensity workouts or mountain climbing. Those who stand a good chance?, whats the issue?. Have hrs for those at risk",0.61,0.155,0.073,0.771,1590292858.0
85,homyndonaldson,@bbcworld,RT @BBCWorld: Over 40 coronavirus cases traced to church service in Germany after lockdown was eased https://t.co/15XNkarQHk,0.296,0.121,0.0,0.879,1590292836.0
86,I_like_blue_dot,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590292832.0
87,AlleluiaSimon,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590292828.0
88,mooned26902342,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590292824.0
89,nottinghamropes,@bbcworld,RT @BBCSteveR: I can’t play any sport in #lockdown. But I can play TV sports themes. And British TV has produced some real corkers. @BBCNew…,0.5859,0.173,0.0,0.827,1590292820.0
90,KaundaOmundi,@bbcworld,@BBCWorld This is where go wrong thinking that we can appease God by being pretentious and cosmetic,0.0258,0.197,0.146,0.657,1590292820.0
91,Mirianbety,@bbcworld,"RT @BBCWorld: Most of the meteorites ever found have been discovered in Antarctica, so every year small teams venture out on to the ice to…",0.0,0.0,0.0,1.0,1590292815.0
92,leslygonzalesla,@bbcworld,"RT @BBCWorld: Most of the meteorites ever found have been discovered in Antarctica, so every year small teams venture out on to the ice to…",0.0,0.0,0.0,1.0,1590292815.0
93,fiqiekun,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590292802.0
94,QwakuJaDe_,@bbcworld,RT @BBCWorld: Over 40 coronavirus cases traced to church service in Germany after lockdown was eased https://t.co/15XNkarQHk,0.296,0.121,0.0,0.879,1590292790.0
95,wavetop,@bbcworld,RT @BBCWorld: New York state daily coronavirus death toll drops below 100 https://t.co/eNDpJ43pwI,-0.5994,0.0,0.245,0.755,1590292779.0
96,prakornor,@bbcworld,RT @BBCWorld: Over 40 coronavirus cases traced to church service in Germany after lockdown was eased https://t.co/15XNkarQHk,0.296,0.121,0.0,0.879,1590292773.0
97,Kagina7,@bbcworld,"RT @Bukeye5: @GianaRenegade He was not convicted of any crime. Yet he went missing while in RPF custody. RPF must be held responsible
@soni…",-0.5267,0.079,0.197,0.724,1590292761.0
98,dolgre82,@bbcworld,"@ArnoldLawson47 @JayinGA @joanwalsh @thenation @VICETV @JoeBiden @Progress4TheUS @BBCWorld @latimes @ABC @POTUS @DNC Whatever. 

You're not real. 

You're trash though.",0.0,0.0,0.0,1.0,1590292756.0
99,dresponsable,@bbcworld,@BBCWorld I would expect more accurate news from BBC news sincerely,0.4767,0.237,0.0,0.763,1590292748.0
100,mariojosenyc,@cbsnews,Woke up and realized that @realDonaldTrump still around. @CNN @foxnewsalert @CBSNews,0.0,0.0,0.0,1.0,1590293322.0
101,learguy,@cbsnews,@CBSNews I certainly hope you’ve changed the ejection seats so they won’t kill the too tall or too short during ejection!!,-0.3066,0.204,0.172,0.624,1590293316.0
102,Jdstasia,@cbsnews,RT @CBSNews: New York's one-day coronavirus death toll drops below 100 https://t.co/4qhDVRl3B5 https://t.co/4is6cPMCiH,-0.5994,0.0,0.245,0.755,1590293315.0
